index_code,date,open,close,low,high,volume,money,change
sh000007,2007-02-28,4682.64,4984.29,4682.64,5013.54,2200020800.0,14851768233.0,0.0369299736018
sh000007,2007-02-27,5334.48,4806.77,4805.53,5336.4,2802935700.0,19574877301.0,-0.0968788334438
sh000007,2007-02-26,5181.88,5322.4,5096.08,5324.11,2156827700.0,15328290606.0,0.0306541314072
sh000007,2007-02-16,5156.73,5164.1,5106.43,5227.82,2074161600.0,14862569387.0,0.00792879523027
sh000007,2007-02-15,5044.17,5123.48,5039.55,5128.7,1881356200.0,13076077037.0,0.0211178116352
sh000007,2007-02-14,4923.52,5017.52,4921.81,5048.56,1776031300.0,12504395570.0,0.0195051409899
sh000007,2007-02-13,4842.16,4921.52,4842.16,4941.59,1479626700.0,10667165978.0,0.0189520257309
sh000007,2007-02-12,4745.03,4829.99,4742.12,4832.81,1497068200.0,10296295562.0,0.0201636068704
sh000007,2007-02-09,4724.72,4734.52,4633.42,4777.93,1410436900.0,10419101946.0,0.00696631861305
sh000007,2007-02-08,4545.93,4701.77,4524.12,4705.71,1713939200.0,12329676049.0,0.0377268457537
sh000007,2007-02-07,4513.11,4530.83,4460.56,4563.31,1488328900.0,10005807769.0,0.011828628152
sh000007,2007-02-06,4391.35,4477.87,4304.58,4481.48,1423411400.0,9163737025.0,0.0232664160601
sh000007,2007-02-05,4414.28,4376.05,4372.81,4455.93,1046047600.0,7016304580.0,-0.0105959531214
sh000007,2007-02-02,4539.79,4422.92,4399.41,4557.4,1358693500.0,9175947858.0,-0.0242329337311
sh000007,2007-02-01,4486.56,4532.76,4369.26,4558.74,1721280300.0,11123508116.0,-0.00428796402328
sh000007,2007-01-31,4780.49,4552.28,4519.41,4798.31,2130741800.0,13618539817.0,-0.0528865748808
sh000007,2007-01-30,4847.0,4806.48,4755.83,4900.26,2278242300.0,14860388304.0,-0.000781251136899
sh000007,2007-01-29,4699.76,4810.23,4678.86,4818.71,2232101000.0,14724176288.0,0.0284705779725
sh000007,2007-01-26,4586.04,4677.07,4420.19,4709.19,2078519800.0,13645276744.0,0.00332914660451
sh000007,2007-01-25,4725.43,4661.56,4637.68,4828.41,2437178700.0,16991725698.0,-0.0186133885534
sh000007,2007-01-24,4652.53,4749.97,4587.14,4770.26,2368414700.0,16251223333.0,0.0203506549943
sh000007,2007-01-23,4720.71,4655.23,4530.37,4727.22,2254594500.0,14931076591.0,-0.00845698429116
sh000007,2007-01-22,4510.88,4694.94,4510.88,4696.13,2723034300.0,17687266303.0,0.0487240015654
sh000007,2007-01-19,4329.22,4476.81,4329.22,4476.81,2134608100.0,13825471311.0,0.036239859656
sh000007,2007-01-18,4310.33,4320.24,4192.19,4343.15,1804884300.0,11150226724.0,-0.00162365686071
sh000007,2007-01-17,4408.89,4327.27,4262.38,4465.96,2133155600.0,13548278085.0,-0.0142084576887
sh000007,2007-01-16,4383.91,4389.64,4290.09,4404.81,1890648100.0,11908569269.0,0.00835579923478
sh000007,2007-01-15,4167.04,4353.26,4146.63,4354.79,1714591400.0,10438612999.0,0.0467203788643
sh000007,2007-01-12,4333.82,4158.96,4138.26,4384.27,2170754300.0,13283598837.0,-0.0453536417998
sh000007,2007-01-11,4372.01,4356.54,4335.5,4475.42,2267625500.0,14319442822.0,-0.00243269947437
sh000007,2007-01-10,4297.48,4367.17,4253.39,4367.52,2117557600.0,13155706560.0,0.0197735660487
sh000007,2007-01-09,4216.01,4282.49,4174.63,4308.13,2066377500.0,12721701800.0,0.0201539776854
sh000007,2007-01-08,4080.17,4197.88,4074.81,4200.35,2437125200.0,14530475926.0,0.0356331554106
sh000007,2007-01-05,3940.58,4053.44,3911.19,4072.61,2681373600.0,15258740076.0,0.0227000411003
sh000007,2007-01-04,3918.3,3963.47,3896.82,4075.81,3100171000.0,18280678860.0,0.0293652226194
sh000007,2006-12-29,3745.31,3850.41,3745.31,3870.01,2106707600.0,12178641984.0,0.0367989922835
sh000007,2006-12-28,3765.18,3713.74,3686.36,3786.34,1832468600.0,10306187957.0,-0.00923814638412
sh000007,2006-12-27,3642.0,3748.37,3641.74,3750.54,1951088400.0,10636496720.0,0.0346950132526
